年月日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),,スポット・時間前平均価格(円/kWh),α上限値×スポット・時間前平均価格(円/kWh),α下限値×スポット・時間前平均価格(円/kWh),α速報値×スポット・時間前平均価格(円/kWh),α確報値×スポット・時間前平均価格(円/kWh),,回避可能原価全国値(円/kWh),回避可能原価北海道(円/kWh),回避可能原価東北(円/kWh),回避可能原価東京(円/kWh),回避可能原価中部(円/kWh),回避可能原価北陸(円/kWh),回避可能原価関西(円/kWh),回避可能原価中国(円/kWh),回避可能原価四国(円/kWh),回避可能原価九州(円/kWh)
2020/04/01,1,16592450,18033600,15772950,6.43,6.84,6.76,6.76,4.00,4.00,4.00,4.00,4.00,4.00,,6.43,503.53,1.71,2.07,4.43,,6.43,6.84,6.77,6.76,4.03,4.00,4.00,4.00,4.00,4.00
2020/04/01,2,16986950,18180600,15766550,5.77,6.62,6.62,6.62,3.73,3.73,3.73,3.73,3.73,3.73,,5.77,504.38,1.71,2.70,4.21,,5.77,6.63,6.63,6.62,3.75,3.73,3.73,3.73,3.73,3.73
2020/04/01,3,17263950,18234450,15990350,5.18,6.61,6.61,6.61,4.09,4.09,4.09,4.09,4.09,4.09,,5.19,505.36,1.71,2.38,4.22,,5.19,6.64,6.61,6.61,4.10,4.09,4.09,4.09,4.09,4.09
2020/04/01,4,17583250,18565050,16078100,4.87,6.51,6.51,6.51,4.04,4.04,4.04,4.04,4.04,4.04,,4.87,503.52,1.68,2.38,4.34,,4.87,6.52,6.51,6.51,4.05,4.04,4.04,4.04,4.04,4.04
2020/04/01,5,17943550,18738950,16338200,4.87,6.51,6.51,6.51,4.09,4.09,4.09,4.09,4.09,4.09,,4.87,503.52,1.68,1.68,4.10,,4.87,6.52,6.51,6.51,4.10,4.09,4.09,4.09,4.09,4.09
2020/04/01,6,18184000,18802350,16447650,4.87,8.30,6.50,6.50,4.43,4.43,4.43,4.43,4.43,4.43,,4.87,503.52,1.68,1.68,4.29,,4.87,8.30,6.50,6.50,4.44,4.43,4.43,4.43,4.43,4.43
2020/04/01,7,18271250,18893350,16503500,4.50,6.50,6.50,6.50,4.43,4.43,4.43,4.43,4.43,4.43,,4.50,503.52,1.68,1.68,4.29,,4.50,6.50,6.50,6.50,4.43,4.43,4.43,4.43,4.43,4.43
2020/04/01,8,18421100,18892350,16592600,4.43,6.50,6.50,6.50,4.04,4.04,4.04,4.04,4.04,4.04,,4.44,504.59,1.68,2.37,4.34,,4.44,6.51,6.50,6.50,4.05,4.04,4.04,4.04,4.04,4.04
2020/04/01,9,18372800,18952050,16682800,4.43,6.50,6.50,6.50,4.00,4.00,4.00,4.00,4.00,4.00,,4.43,503.53,1.68,2.70,4.29,,4.43,6.51,6.50,6.50,4.01,4.00,4.00,4.00,4.00,4.00
2020/04/01,10,18385550,18940300,16588650,4.34,6.51,6.51,6.51,3.73,3.73,3.73,3.73,3.73,3.73,,4.35,504.69,1.68,2.93,4.22,,4.35,6.57,6.51,6.51,3.74,3.73,3.75,3.73,3.73,3.73
