îNåéì˙,éûçèÉRÅ[Éh,îÑÇËì¸éDó (kWh),îÉÇ¢ì¸éDó (kWh),ñÒíËëçó (kWh),ÉVÉXÉeÉÄÉvÉâÉCÉX(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåñk(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXìåãû(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜïî(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXñkó§(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXä÷êº(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXíÜçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXélçë(â~/kWh),ÉGÉäÉAÉvÉâÉCÉXã„èB(â~/kWh),,ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøè„å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøâ∫å¿ílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),Éøë¨ïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),ÉøämïÒílÅ~ÉXÉ|ÉbÉgÅEéûä‘ëOïΩãœâøäi(â~/kWh),,âÒîâ¬î\å¥âøëSçëíl(â~/kWh),âÒîâ¬î\å¥âøñkäCìπ(â~/kWh),âÒîâ¬î\å¥âøìåñk(â~/kWh),âÒîâ¬î\å¥âøìåãû(â~/kWh),âÒîâ¬î\å¥âøíÜïî(â~/kWh),âÒîâ¬î\å¥âøñkó§(â~/kWh),âÒîâ¬î\å¥âøä÷êº(â~/kWh),âÒîâ¬î\å¥âøíÜçë(â~/kWh),âÒîâ¬î\å¥âøélçë(â~/kWh),âÒîâ¬î\å¥âøã„èB(â~/kWh),,îÑÇËÉuÉçÉbÉNì¸éDëçó (kWh),îÑÇËÉuÉçÉbÉNñÒíËëçó (kWh),îÉÇ¢ÉuÉçÉbÉNì¸éDëçó (kWh),îÉÇ¢ÉuÉçÉbÉNñÒíËëçó (kWh),,FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjëSçëíl(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjñkäCìπ(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåñk(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjìåãû(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜïî(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjñkó§(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjä÷êº(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™ÅjíÜçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjélçë(â~/kWh),FIPéQè∆âøäiÅiâµìdóÕéÊà¯ésèÍï™Åjã„èB(â~/kWh)
2021/04/01,1,18858000,18427950,15407900,5.63,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,5.63,,5.64,505.20,0.00,5.38,5.38,,5.64,6.29,6.37,6.29,6.29,6.29,6.29,6.29,6.29,5.63,,6444650,3118150,1311300,690100,,5.64,6.30,6.30,6.30,6.32,6.26,6.29,6.30,6.29,5.63
2021/04/01,2,20478700,18642200,15601200,5.63,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.63,,5.63,504.31,0.00,5.37,5.38,,5.63,5.68,5.75,5.68,5.68,5.68,5.68,5.68,5.68,5.63,,7948350,3286600,1579900,874050,,5.63,5.68,5.68,5.69,5.71,5.68,5.68,5.65,5.68,5.63
2021/04/01,3,20969850,18695200,15724850,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,,5.49,504.31,0.00,5.31,5.31,,5.49,5.49,5.52,5.49,5.49,5.49,5.49,5.49,5.49,5.49,,8382200,3364500,1777050,1071100,,5.49,5.49,5.49,5.50,5.49,5.49,5.49,5.48,5.49,5.49
2021/04/01,4,21238500,18648700,15674700,5.49,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,,5.49,504.89,0.00,5.28,5.31,,5.49,5.39,5.42,5.39,5.39,5.39,5.39,5.39,5.39,5.39,,8609750,3274500,1826200,1120100,,5.49,5.39,5.39,5.39,5.40,5.39,5.39,5.39,5.39,5.39
2021/04/01,5,21479350,18600100,15639400,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,,5.56,504.89,0.00,5.29,5.33,,5.56,5.56,5.63,5.56,5.56,5.56,5.56,5.56,5.56,5.56,,8813050,3195100,1890350,1173200,,5.56,5.56,5.56,5.57,5.57,5.56,5.56,5.56,5.56,5.56
2021/04/01,6,21570900,18585400,15511050,5.63,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,,5.63,505.24,0.00,5.37,5.56,,5.63,5.56,5.63,5.56,5.56,5.56,5.56,5.56,5.56,5.56,,8868350,3151100,1995650,1218150,,5.63,5.56,5.56,5.57,5.59,5.56,5.56,5.56,5.56,5.56
2021/04/01,7,21482250,18651800,15564500,5.63,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,5.52,,5.63,505.24,0.00,5.35,5.52,,5.63,5.52,5.57,5.52,5.52,5.52,5.52,5.52,5.52,5.52,,8697850,3117000,2071500,1253900,,5.63,5.52,5.52,5.52,5.53,5.52,5.54,5.52,5.52,5.52
2021/04/01,8,21598900,18493650,15330450,5.68,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,5.63,,5.68,505.92,0.00,5.52,5.68,,5.68,5.63,5.66,5.63,5.63,5.63,5.63,5.63,5.63,5.63,,8562600,2897550,2166250,1331750,,5.68,5.63,5.63,5.63,5.64,5.62,5.65,5.63,5.63,5.63
2021/04/01,9,22096800,18296050,15130250,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.63,,5.75,506.07,0.00,5.42,5.75,,5.75,5.75,5.80,5.75,5.75,5.75,5.75,5.75,5.75,5.63,,8595100,2637500,2232650,1357750,,5.75,5.75,5.75,5.76,5.75,5.75,5.76,5.75,5.75,5.63
2021/04/01,10,22192600,18069800,14847900,5.88,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.63,,5.89,506.93,0.00,5.64,5.89,,5.89,5.75,5.80,5.75,5.75,5.75,5.77,5.75,5.75,5.63,,8647500,2371700,2085000,1359950,,5.89,5.75,5.75,5.76,5.77,5.75,5.76,5.78,5.75,5.63
2021/04/01,11,22139950,18062450,14710850,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.63,,5.89,507.23,0.00,5.64,5.89,,5.89,5.88,5.92,5.88,5.88,5.88,5.90,5.88,5.88,5.63,,8654200,2124900,2018350,1343200,,5.89,5.88,5.88,5.89,5.90,5.88,5.89,5.91,5.88,5.63
2021/04/01,12,22198650,17732300,14368550,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.63,,5.88,506.48,0.00,5.68,5.77,,5.88,5.88,5.90,5.88,5.88,5.88,5.89,5.88,5.88,5.63,,8751550,1901750,1859000,1183750,,5.88,5.88,5.88,5.88,5.90,5.88,5.90,5.88,5.88,5.63
2021/04/01,13,22770900,17900750,14069000,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.63,,5.88,507.09,0.00,5.88,5.88,,5.88,5.88,5.90,5.88,5.88,5.88,5.89,5.88,5.88,5.63,,9132450,1680650,1771150,1095850,,5.88,5.88,5.88,5.88,5.89,5.88,5.89,5.88,5.88,5.63
2021/04/01,14,23605150,17603900,14248600,5.70,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.63,,5.70,507.09,0.00,5.63,5.68,,5.70,5.68,5.70,5.68,5.68,5.68,5.69,5.68,5.68,5.63,,9449550,1494250,1608600,983900,,5.70,5.68,5.68,5.68,5.69,5.68,5.72,5.68,5.68,5.63
2021/04/01,15,24552500,17832500,14883950,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,,5.43,507.09,0.00,5.43,5.43,,5.43,5.43,5.44,5.43,5.43,5.43,5.44,5.43,5.43,5.43,,10039200,1767200,1441300,890000,,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43
2021/04/01,16,25989550,18463100,15456550,5.43,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,,5.43,507.09,0.00,5.02,5.02,,5.43,5.38,5.37,5.38,5.38,5.38,5.37,5.38,5.38,5.38,,10807800,1808000,1327800,1070850,,5.43,5.38,5.38,5.38,5.38,5.37,5.38,5.37,5.38,5.38
2021/04/01,17,27158700,19054100,16185400,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,,5.45,507.09,0.00,5.07,4.95,,5.45,5.45,5.45,5.45,5.45,5.45,5.44,5.45,5.45,5.45,,11056700,1825150,1326450,1114650,,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.42,5.45,5.45
2021/04/01,18,28497450,19716200,16835750,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,,5.45,507.09,0.00,4.84,4.20,,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,,11409250,1741950,1438150,1154850,,5.45,5.45,5.45,5.45,5.45,5.45,5.46,5.42,5.45,5.45
2021/04/01,19,29196300,20012350,17047350,5.37,4.23,4.23,5.41,5.41,5.41,5.41,5.41,5.41,5.41,,5.37,507.09,0.00,5.13,4.85,,5.37,4.23,4.29,5.41,5.41,5.41,5.41,5.41,5.41,5.41,,11683000,1527800,1606800,1207500,,5.37,4.23,4.24,5.41,5.41,5.40,5.41,5.40,5.41,5.41
2021/04/01,20,30119800,19906400,17105850,5.13,4.20,4.20,5.39,5.17,5.17,5.17,5.17,5.17,5.17,,5.13,507.09,0.00,4.85,3.98,,5.13,4.20,4.23,5.39,5.17,5.17,5.17,5.17,5.17,5.17,,12085400,1262700,1655300,1209000,,5.13,4.20,4.21,5.39,5.17,5.16,5.17,5.17,5.17,5.17
2021/04/01,21,30515100,19965250,17089450,4.91,4.27,4.27,5.28,4.84,4.84,4.84,4.84,4.84,4.84,,4.91,506.48,0.00,4.83,4.25,,4.91,4.27,4.29,5.28,4.84,4.84,4.84,4.84,4.84,4.83,,12331300,1120550,1773500,1208200,,4.91,4.27,4.28,5.28,4.84,4.84,4.84,4.84,4.84,4.84
2021/04/01,22,30692750,19768050,17173600,4.60,4.25,4.25,5.07,4.84,4.84,4.84,4.84,4.84,4.84,,4.60,506.37,0.00,4.48,3.98,,4.60,4.25,4.26,5.07,4.84,4.84,4.84,4.84,4.84,4.83,,12173500,1069950,1598500,1207200,,4.60,4.25,4.25,5.07,4.84,4.84,4.84,4.84,4.84,4.84
2021/04/01,23,32042100,19924200,17475300,4.74,4.26,4.26,5.41,4.42,4.42,4.42,4.42,4.42,4.42,,4.74,506.45,0.00,4.88,4.42,,4.74,4.26,4.27,5.41,4.42,4.42,4.43,4.42,4.42,4.43,,13324800,1070500,1734000,1231200,,4.74,4.26,4.26,5.41,4.42,4.46,4.42,4.43,4.42,4.42
2021/04/01,24,32608300,19780100,17508150,4.65,4.25,4.25,5.41,4.24,4.24,4.24,4.24,4.24,4.24,,4.65,506.48,0.00,4.74,4.39,,4.65,4.25,4.26,5.41,4.25,4.24,4.25,4.24,4.24,4.26,,13879350,1068550,1857750,1314950,,4.65,4.25,4.25,5.40,4.25,4.29,4.24,4.24,4.24,4.24
2021/04/01,25,33220550,18623950,17392500,3.62,3.55,3.55,5.24,3.32,3.32,3.32,3.32,3.32,0.01,,3.61,505.69,0.00,4.39,3.58,,3.61,3.55,3.44,5.23,3.32,3.32,3.33,3.32,3.32,0.01,,14302300,1066800,1518300,1312000,,3.61,3.55,3.50,5.23,3.32,3.36,3.32,3.32,3.32,0.01
2021/04/01,26,33718150,18630200,17370050,3.62,3.56,3.56,5.21,3.40,3.40,3.40,3.40,3.40,0.01,,3.61,505.69,0.00,4.23,3.55,,3.61,3.56,3.46,5.20,3.41,3.40,3.41,3.40,3.40,0.01,,14798550,1067700,1523500,1292200,,3.61,3.56,3.52,5.20,3.40,3.47,3.40,3.40,3.40,0.01
2021/04/01,27,33294200,19307500,17127300,4.24,4.23,4.23,5.07,4.09,4.09,4.09,4.09,4.09,4.09,,4.24,507.09,0.00,4.24,3.98,,4.24,4.23,4.24,5.07,4.09,4.11,4.10,4.10,4.09,4.10,,14815900,1067250,1761300,1076000,,4.24,4.23,4.23,5.06,4.10,4.14,4.09,4.09,4.09,4.10
2021/04/01,28,32585850,18959650,16846800,4.52,4.45,4.45,5.07,4.84,4.84,4.84,4.84,4.84,4.84,,4.52,509.30,0.00,4.83,3.97,,4.52,4.45,4.45,5.07,4.84,4.84,4.84,4.84,4.84,4.83,,14496800,1067100,1577350,976050,,4.52,4.45,4.45,5.07,4.84,4.83,4.84,4.84,4.84,4.84
2021/04/01,29,31923400,18967050,16489400,4.84,4.60,4.60,5.07,4.84,4.84,4.84,4.84,4.84,4.84,,4.84,509.30,0.00,4.24,4.24,,4.84,4.60,4.57,5.07,4.84,4.84,4.84,4.84,4.84,4.84,,14346450,1198700,1299850,819550,,4.84,4.59,4.59,5.07,4.84,4.84,4.84,4.84,4.84,4.84
2021/04/01,30,30474250,18838950,16212500,4.96,5.24,5.24,5.24,4.96,4.96,4.96,4.96,4.96,4.96,,4.96,509.30,0.00,4.96,4.84,,4.96,5.25,5.22,5.24,4.96,4.96,4.97,4.96,4.97,4.96,,13428000,1323750,1166800,672000,,4.96,5.22,5.24,5.25,4.96,4.99,4.95,4.96,4.96,4.96
2021/04/01,31,29574150,18544350,16050650,5.16,5.29,5.29,5.29,5.21,5.21,5.21,5.21,5.21,5.21,,5.16,509.31,0.00,5.16,4.84,,5.16,5.29,5.30,5.29,5.19,5.20,5.20,5.21,5.21,5.21,,12911300,1456850,772200,460400,,5.16,5.29,5.29,5.29,5.21,5.15,5.21,5.21,5.17,5.21
2021/04/01,32,27128950,18298950,15934000,5.37,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,,5.36,508.36,0.00,5.62,5.47,,5.36,5.48,5.46,5.47,5.45,5.48,5.46,5.47,5.48,5.47,,10946100,1591800,700650,288850,,5.36,5.47,5.47,5.48,5.48,5.33,5.48,5.48,5.38,5.48
2021/04/01,33,25664950,19805450,16519000,5.63,7.36,7.36,7.36,7.36,7.36,7.36,7.36,7.36,5.63,,5.64,507.99,0.00,5.64,5.64,,5.64,7.36,7.34,7.34,7.34,7.36,7.23,7.36,7.36,5.63,,9330100,1799800,806550,269750,,5.64,7.35,7.34,7.35,7.36,6.82,7.36,7.36,7.36,5.63
2021/04/01,34,23005900,19743000,15991200,7.36,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,5.63,,7.34,504.99,0.00,9.04,7.76,,7.34,7.37,7.37,7.34,7.37,7.37,7.32,7.37,7.37,5.63,,7796600,1862400,883350,271550,,7.34,7.38,7.37,7.37,7.37,6.92,7.37,7.37,7.37,5.63
2021/04/01,35,22777900,19239700,15739850,6.67,7.37,7.37,7.37,6.57,6.57,6.57,6.57,6.57,5.63,,6.66,505.72,0.00,7.36,7.10,,6.66,7.37,7.36,7.37,6.57,6.57,6.53,6.57,6.57,5.63,,8127550,2093750,947150,321850,,6.66,7.36,7.37,7.37,6.57,6.39,6.58,6.57,6.57,5.63
