年月日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),,スポット・時間前平均価格(円/kWh),α上限値×スポット・時間前平均価格(円/kWh),α下限値×スポット・時間前平均価格(円/kWh),α速報値×スポット・時間前平均価格(円/kWh),α確報値×スポット・時間前平均価格(円/kWh),,回避可能原価全国値(円/kWh),回避可能原価北海道(円/kWh),回避可能原価東北(円/kWh),回避可能原価東京(円/kWh),回避可能原価中部(円/kWh),回避可能原価北陸(円/kWh),回避可能原価関西(円/kWh),回避可能原価中国(円/kWh),回避可能原価四国(円/kWh),回避可能原価九州(円/kWh)
2019/04/01,1,13840600,16318000,12728150,8.21,9.47,6.66,6.66,5.75,5.75,5.75,5.75,5.75,5.75,,8.21,504.61,1.37,6.66,6.66,,8.21,9.47,6.66,6.66,5.75,5.75,5.75,5.76,5.75,5.75
2019/04/01,2,14258900,16302850,12603900,6.66,9.47,6.66,6.66,5.48,5.48,5.48,5.48,5.48,5.48,,6.66,505.39,1.37,6.40,6.40,,6.66,9.47,6.66,6.66,5.48,5.48,5.48,5.51,5.48,5.48
2019/04/01,3,14397600,16305850,12625350,6.51,9.47,6.59,6.59,5.20,5.20,5.20,5.20,5.20,5.20,,6.51,505.39,1.37,6.39,6.39,,6.51,9.47,6.59,6.59,5.20,5.20,5.20,5.26,5.20,5.20
2019/04/01,4,14576650,16482900,12665700,6.51,6.59,6.59,6.59,5.04,5.04,5.04,5.04,5.04,5.04,,6.51,505.39,1.37,6.39,6.33,,6.51,6.59,6.59,6.59,5.04,5.04,5.04,5.07,5.04,5.04
2019/04/01,5,14985000,16601100,12809700,6.49,6.57,6.57,6.57,5.73,5.73,5.73,5.73,5.73,5.73,,6.49,505.39,1.38,6.38,6.38,,6.49,6.57,6.57,6.57,5.73,5.73,5.73,5.74,5.73,5.73
2019/04/01,6,15124050,16749850,13033150,6.57,6.57,6.57,6.57,5.85,5.85,5.85,5.85,5.85,5.85,,6.57,505.39,1.37,6.38,6.38,,6.57,6.57,6.57,6.57,5.85,5.85,5.85,5.85,5.85,5.85
2019/04/01,7,15303900,16855850,13274950,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,,6.59,505.39,1.38,6.51,6.51,,6.59,6.59,6.61,6.59,6.59,6.59,6.59,6.59,6.59,6.59
2019/04/01,8,15490600,16884700,13308900,6.51,6.59,6.59,6.59,5.65,5.65,5.65,5.65,5.65,5.65,,6.51,505.39,1.37,6.42,6.42,,6.51,6.59,6.60,6.59,5.65,5.65,5.65,5.66,5.68,5.65
2019/04/01,9,15421600,16678700,13293700,6.49,6.49,6.49,6.49,5.85,5.85,5.85,5.85,5.85,5.85,,6.49,505.39,1.38,6.49,6.49,,6.49,6.49,6.52,6.49,5.85,5.85,5.85,5.85,5.91,5.85
2019/04/01,10,15673550,16753100,13394150,6.40,6.49,6.49,6.49,5.51,5.51,5.51,5.51,5.51,5.51,,6.40,505.39,1.38,6.33,6.33,,6.40,6.49,6.49,6.49,5.51,5.51,5.51,5.53,5.52,5.51
2019/04/01,11,15802100,16644600,13278450,6.38,6.47,6.47,6.47,5.51,5.51,5.51,5.51,5.51,5.51,,6.38,505.39,1.38,6.33,6.38,,6.38,6.47,6.47,6.47,5.51,5.51,5.51,5.52,5.54,5.51
2019/04/01,12,16200550,17000750,13411250,6.47,6.54,6.54,6.54,5.65,5.65,5.65,5.65,5.65,5.65,,6.47,505.49,1.38,6.47,6.47,,6.47,6.54,6.54,6.54,5.65,5.65,5.65,5.65,5.65,5.65
2019/04/01,13,16824950,17693900,13858450,6.47,6.56,6.56,6.56,5.85,5.85,5.85,5.85,5.85,5.85,,6.47,505.57,1.38,6.56,6.65,,6.47,6.56,6.56,6.56,5.85,5.85,5.85,5.85,5.85,5.85
2019/04/01,14,17396150,18469450,14388050,6.65,27.30,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,,6.65,505.49,1.38,6.47,6.47,,6.65,27.30,6.65,6.65,6.65,6.65,6.65,6.64,6.65,6.65
2019/04/01,15,17769900,18898050,14606400,6.69,19.00,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,,6.69,505.56,1.39,6.65,6.66,,6.69,19.00,6.66,6.66,6.66,6.66,6.66,6.65,6.66,6.66
2019/04/01,16,17905050,19104150,14788000,7.48,19.00,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,,7.48,505.56,1.38,6.33,6.38,,7.48,19.00,7.47,7.48,7.48,7.48,7.48,7.45,7.48,7.48
